Time,hall_calls,hall_up,hall_down,origin_entropy,stops,stop_entropy,departures,load_in,load_out,maint_ratio,up_ratio,down_ratio,sin_day,cos_day,activity,cluster
2025-11-01 00:00:00,5,0,5,0.9609640474406225,9,0.9359446974424301,10,630,567,0.0,0.0,1.0,0.0,1.0,11.5,1
2025-11-01 00:05:00,5,0,5,0.8649735207149339,14,0.9134443205580036,13,609,567,0.0,0.0,1.0,0.02181488503456112,0.9997620270799091,14.6,1
2025-11-01 00:10:00,1,1,0,-1.0,1,-1.0,1,63,84,0.0,1.0,0.0,0.043619387365336,0.9990482215818578,1.7,0
2025-11-01 00:15:00,3,1,2,0.9999999999969659,5,0.999999999996769,5,168,168,0.0,0.3333333333333333,0.6666666666666666,0.06540312923014306,0.9978589232386035,6.5,1
2025-11-01 00:20:00,2,0,2,0.9999999999963932,3,0.9999999999969659,5,189,63,0.0,0.0,1.0,0.08715574274765817,0.9961946980917455,4.5,1
2025-11-01 00:25:00,3,2,1,0.9182958340509417,7,0.9751060324543124,6,399,483,0.0,0.6666666666666666,0.3333333333333333,0.10886687485196457,0.9940563382223196,7.7,1
2025-11-01 00:30:00,5,0,5,0.9602297178577391,10,0.9232196723324558,9,483,441,0.0,0.0,1.0,0.13052619222005157,0.9914448613738104,11.8,1
2025-11-01 00:35:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.1521233861899167,0.9883615104677607,0.0,0
2025-11-01 00:40:00,1,0,1,-1.0,3,0.9999999999969659,3,84,105,0.0,0.0,1.0,0.17364817766693033,0.984807753012208,3.1,2
2025-11-01 00:45:00,1,1,0,-1.0,1,-1.0,1,105,21,0.0,1.0,0.0,0.19509032201612825,0.9807852804032304,1.7,0
2025-11-01 00:50:00,0,0,0,0.0,0,0.0,0,0,147,0.0,0.0,0.0,0.21643961393810288,0.9762960071199334,0.0,0
2025-11-01 00:55:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.2376858923261731,0.9713420698132614,0.0,0
2025-11-01 01:00:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.0,0
2025-11-01 01:05:00,3,3,0,-1.0,0,0.0,2,357,21,0.0,1.0,0.0,0.2798290140309921,0.9600498543859287,3.4,0
2025-11-01 01:10:00,1,0,1,-1.0,5,0.8649735207149339,3,252,483,0.0,0.0,1.0,0.3007057995042731,0.9537169507482269,4.1,2
2025-11-01 01:15:00,1,0,1,-1.0,2,0.9999999999963932,2,168,168,0.0,0.0,1.0,0.3214394653031616,0.9469301294951057,2.4,2
2025-11-01 01:20:00,2,0,2,0.9999999999963932,3,0.9999999999969659,4,210,126,0.0,0.0,1.0,0.3420201433256687,0.9396926207859084,4.3,1
2025-11-01 01:25:00,1,1,0,-1.0,2,0.9999999999963932,1,105,210,0.0,1.0,0.0,0.36243803828370164,0.9320078692827986,2.2,5
2025-11-01 01:30:00,1,0,1,-1.0,2,0.9999999999963932,2,84,105,0.0,0.0,1.0,0.3826834323650898,0.9238795325112867,2.4,2
2025-11-01 01:35:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.40274668985873724,0.9153114791194471,0.0,0
2025-11-01 01:40:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.42261826174069944,0.9063077870366499,0.0,0
2025-11-01 01:45:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.4422886902190013,0.8968727415326883,0.0,0
2025-11-01 01:50:00,3,3,0,-1.0,3,0.9182958340509417,3,189,168,0.0,1.0,0.0,0.4617486132350339,0.8870108331782217,5.1,5
2025-11-01 01:55:00,1,0,1,-1.0,1,-1.0,2,168,0,0.0,0.0,1.0,0.48098876891938763,0.8767267557075077,1.9,0
2025-11-01 02:00:00,1,0,1,-1.0,2,0.9999999999963932,1,21,168,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,2.2,2
2025-11-01 02:05:00,1,0,1,-1.0,3,0.9182958340509417,3,231,294,0.0,0.0,1.0,0.5187732581605213,0.8549118706729466,3.1,2
2025-11-01 02:10:00,1,0,1,-1.0,2,0.9999999999963932,2,84,42,0.0,0.0,1.0,0.5372996083468238,0.8433914458128857,2.4,2
2025-11-01 02:15:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5555702330196022,0.8314696123025452,0.0,0
2025-11-01 02:20:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.573576436351046,0.8191520442889918,0.0,0
2025-11-01 02:25:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5913096483635824,0.8064446042674827,0.0,0
2025-11-01 02:30:00,1,0,1,-1.0,2,0.9999999999963932,2,63,0,0.0,0.0,1.0,0.6087614290087207,0.7933533402912352,2.4,2
2025-11-01 02:35:00,0,0,0,0.0,1,-1.0,1,0,84,0.0,0.0,0.0,0.6259234721840591,0.7798844830928818,0.7,0
2025-11-01 02:40:00,1,0,1,-1.0,3,0.9999999999969659,3,147,126,0.0,0.0,1.0,0.6427876096865393,0.766044443118978,3.1,2
2025-11-01 02:45:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.6593458151000688,0.7518398074789774,0.0,0
2025-11-01 02:50:00,1,1,0,-1.0,1,-1.0,1,84,126,0.0,1.0,0.0,0.6755902076156602,0.7372773368101241,1.7,0
2025-11-01 02:55:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.6915130557822693,0.7223639620597556,0.0,0
2025-11-01 03:00:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0,0
2025-11-01 03:05:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.7223639620597555,0.6915130557822694,0.0,0
2025-11-01 03:10:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.7372773368101241,0.6755902076156602,0.0,0
2025-11-01 03:15:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.7518398074789773,0.659345815100069,0.0,0
2025-11-01 03:20:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.766044443118978,0.6427876096865394,0.0,0
2025-11-01 03:25:00,2,0,2,0.9999999999963932,4,0.9463946303541684,4,378,315,0.0,0.0,1.0,0.7798844830928817,0.6259234721840591,4.8,1
2025-11-01 03:30:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.7933533402912352,0.6087614290087207,0.0,0
2025-11-01 03:35:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.8064446042674825,0.5913096483635825,0.0,0
2025-11-01 03:40:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.8191520442889918,0.573576436351046,0.0,0
2025-11-01 03:45:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.8314696123025452,0.5555702330196023,0.0,0
2025-11-01 03:50:00,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.8433914458128856,0.5372996083468239,0.0,0
