window,LongWaitThreshold,strategy,N,AWT,P90,P95,P99,LongWait%,EmptyTravel_mean
"Peak (weekday 08-10,17-19)",27.5,dynamic,49805,8.439353478566408,9.5,9.5,14.0,0.0,0.02021885352876215
"Peak (weekday 08-10,17-19)",27.5,zone,49805,9.630107418933841,11.0,14.0,14.0,0.0,0.031101295050697718
"Peak (weekday 08-10,17-19)",27.5,last_stop,49805,15.381909446842686,21.5,27.5,27.5,5.854833852022889,0.0
"Peak (weekday 08-10,17-19)",27.5,lobby,49805,15.381909446842686,21.5,27.5,27.5,5.854833852022889,0.0
Transition (±15min around label changes),21.5,dynamic,106840,8.317268813178584,9.5,9.5,12.5,0.0009359790340696367,0.047014226881317844
Transition (±15min around label changes),21.5,zone,106840,9.354647135904155,11.0,11.0,14.0,0.0028079371022089105,0.06323474354174466
Transition (±15min around label changes),21.5,last_stop,106840,14.636053912392363,21.5,21.5,27.5,10.971546237364283,0.0
Transition (±15min around label changes),21.5,lobby,106840,14.636053912392363,21.5,21.5,27.5,10.971546237364283,0.0
High-load (top 10% 5-min bins),27.5,dynamic,83191,8.350897332644156,9.5,9.5,14.0,0.0,0.004483658088014312
High-load (top 10% 5-min bins),27.5,zone,83191,9.744605786683655,11.0,14.0,14.0,0.0,0.004351432246276633
High-load (top 10% 5-min bins),27.5,last_stop,83191,15.846966618985228,21.5,27.5,27.5,5.100311331754637,0.0
High-load (top 10% 5-min bins),27.5,lobby,83191,15.846966618985228,21.5,27.5,27.5,5.100311331754637,0.0
