observed_interval,pred_interval,state,y_hat,y_true,allocated_elevators,capacity,awt_s,moves_count,reposition_time_s
2025-11-24 23:00:00,2025-11-24 23:05:00,Afternoon Mixed,5.236588858102051,1.0,4,24.0,10.0,1,30.0
2025-11-24 23:05:00,2025-11-24 23:10:00,Afternoon Mixed,3.9578628083121608,6.0,4,24.0,10.0,0,0.0
2025-11-24 23:10:00,2025-11-24 23:15:00,Afternoon Mixed,4.995192072181242,9.0,4,24.0,10.0,0,0.0
2025-11-24 23:15:00,2025-11-24 23:20:00,Afternoon Mixed,6.585821134486243,4.0,4,24.0,10.0,0,0.0
2025-11-24 23:20:00,2025-11-24 23:25:00,Afternoon Mixed,4.496983741234325,6.0,4,24.0,10.0,0,0.0
2025-11-24 23:25:00,2025-11-24 23:30:00,Afternoon Mixed,4.528525405514575,2.0,4,24.0,10.0,0,0.0
2025-11-24 23:30:00,2025-11-24 23:35:00,Afternoon Mixed,2.94294918897085,1.0,4,24.0,10.0,0,0.0
2025-11-24 23:35:00,2025-11-24 23:40:00,Afternoon Mixed,2.030072156625141,2.0,4,24.0,10.0,0,0.0
2025-11-24 23:40:00,2025-11-24 23:45:00,Afternoon Mixed,3.0613689029628723,2.0,4,24.0,10.0,0,0.0
2025-11-24 23:45:00,2025-11-24 23:50:00,Afternoon Mixed,1.9894044725924107,1.0,4,24.0,10.0,0,0.0
2025-11-24 23:50:00,2025-11-24 23:55:00,Afternoon Mixed,1.9740010173660631,2.0,4,24.0,10.0,0,0.0
2025-11-24 23:55:00,2025-11-25 00:00:00,Afternoon Mixed,2.6883861790946098,3.0,4,24.0,10.0,0,0.0
2025-11-25 00:00:00,2025-11-25 00:05:00,Afternoon Mixed,2.370262957098803,2.0,4,24.0,10.0,0,0.0
2025-11-25 00:05:00,2025-11-25 00:10:00,Afternoon Mixed,1.9902963036264958,4.0,4,24.0,10.0,0,0.0
2025-11-25 00:10:00,2025-11-25 00:15:00,Afternoon Mixed,2.760162917515726,5.0,4,24.0,10.0,0,0.0
2025-11-25 00:15:00,2025-11-25 00:20:00,Afternoon Mixed,2.8084517888121354,0.0,4,24.0,10.0,0,0.0
2025-11-25 00:20:00,2025-11-25 00:25:00,Afternoon Mixed,1.119574125385471,7.0,4,24.0,10.0,0,0.0
2025-11-25 00:25:00,2025-11-25 00:30:00,Afternoon Mixed,3.179403577624271,1.0,4,24.0,10.0,0,0.0
2025-11-25 00:30:00,2025-11-25 00:35:00,Afternoon Mixed,1.2833889108794876,1.0,4,24.0,10.0,0,0.0
2025-11-25 00:35:00,2025-11-25 00:40:00,Afternoon Mixed,1.0719740858023934,0.0,4,24.0,10.0,0,0.0
2025-11-25 00:40:00,2025-11-25 00:45:00,Afternoon Mixed,1.2881259537806842,1.0,4,24.0,10.0,0,0.0
2025-11-25 00:45:00,2025-11-25 00:50:00,Afternoon Mixed,0.9950333465276926,2.0,4,24.0,10.0,2,60.0
2025-11-25 00:50:00,2025-11-25 00:55:00,Afternoon Mixed,1.4521703498458116,1.0,4,24.0,10.0,2,60.0
2025-11-25 00:55:00,2025-11-25 01:00:00,Afternoon Mixed,1.2547370429011966,1.0,4,24.0,10.0,0,0.0
2025-11-25 01:00:00,2025-11-25 01:05:00,Afternoon Mixed,0.9277963036264959,1.0,4,24.0,10.0,2,60.0
2025-11-25 01:05:00,2025-11-25 01:10:00,Afternoon Mixed,1.625,3.0,4,24.0,10.0,2,60.0
2025-11-25 01:10:00,2025-11-25 01:15:00,Afternoon Mixed,1.9426962640434182,2.0,4,24.0,10.0,0,0.0
2025-11-25 01:15:00,2025-11-25 01:20:00,Afternoon Mixed,0.586644435648205,2.0,4,24.0,10.0,2,60.0
2025-11-25 01:20:00,2025-11-25 01:25:00,Afternoon Mixed,0.9715777425928198,1.0,4,24.0,10.0,0,0.0
2025-11-25 01:25:00,2025-11-25 01:30:00,Afternoon Mixed,1.274144435648205,0.0,4,24.0,10.0,2,60.0
2025-11-25 01:30:00,2025-11-25 01:35:00,Afternoon Mixed,0.4756259537806843,1.0,4,24.0,10.0,2,60.0
2025-11-25 01:35:00,2025-11-25 01:40:00,Afternoon Mixed,0.6202629570988033,0.0,4,24.0,10.0,0,0.0
2025-11-25 01:40:00,2025-11-25 01:45:00,Afternoon Mixed,0.7450333465276926,1.0,4,24.0,10.0,0,0.0
2025-11-25 01:45:00,2025-11-25 01:50:00,Afternoon Mixed,0.8413814785494017,3.0,4,24.0,10.0,0,0.0
2025-11-25 01:50:00,2025-11-25 01:55:00,Afternoon Mixed,1.255425874614529,1.0,4,24.0,10.0,2,60.0
2025-11-25 01:55:00,2025-11-25 02:00:00,Afternoon Mixed,0.5577629570988033,1.0,4,24.0,10.0,2,60.0
2025-11-25 02:00:00,2025-11-25 02:05:00,Afternoon Mixed,0.5530259141976066,0.0,4,24.0,10.0,0,0.0
2025-11-25 02:05:00,2025-11-25 02:10:00,Afternoon Mixed,0.1489148250770942,0.0,4,24.0,10.0,0,0.0
2025-11-25 02:10:00,2025-11-25 02:15:00,Afternoon Mixed,0.3172370429011967,1.0,4,24.0,10.0,0,0.0
2025-11-25 02:15:00,2025-11-25 02:20:00,Afternoon Mixed,0.8319073927470083,1.0,4,24.0,10.0,0,0.0
2025-11-25 02:20:00,2025-11-25 02:25:00,Afternoon Mixed,0.6972036963735041,1.0,4,24.0,10.0,0,0.0
